uid,synflow,time
0,1.395120059550484e+20,0.1438150405883789
1,1.017985877044389e+36,0.22583508491516116
2,6.162667652413403e+25,0.11743998527526855
3,2377096.3397596558,0.05162835121154785
4,5.957026691820269e+23,0.1030409336090088
5,5.183043346579248e+25,0.13292598724365234
6,4.0543420287566224e+34,0.14373254776000974
7,2.0585431037562205e+21,0.11757349967956544
8,5.596455283477733e+29,0.1197822093963623
9,2607911.134070536,0.09233903884887697
10,0.0,0.1486814022064209
11,8.288663774653402e+35,0.14997291564941406
12,0.0,0.08027410507202147
13,3.4390872140076387e+22,0.1172947883605957
14,3.712127120663364e+20,0.16505932807922366
15,35437388163523.8,0.06696367263793945
16,2.133439349568622e+35,0.14030122756958008
17,4.3289561183225926e+24,0.1244208812713623
18,1.8884950492464732e+30,0.14784908294677734
19,1.9069182680993843e+21,0.13065075874328613
20,1.879963510191104e+21,0.11014628410339357
21,2.6289203347107568e+28,0.11333298683166505
22,1.2074992003014508e+23,0.09819650650024414
23,1.0003826653518013e+28,0.1442551612854004
24,1.377451059467463e+17,0.06089329719543458
25,2377096.3397596558,0.04603862762451172
26,2.2566483521970292e+25,0.11359119415283205
27,1.6649658863768356e+18,0.09844589233398438
28,1.5695913480139e+20,0.06346487998962402
29,2.0333089855296365e+21,0.07555961608886719
30,3.8975008285078415e+20,0.07312154769897461
31,1.2044471894974392e+23,0.09278392791748047
32,5.742581996428608e+29,0.08861231803894043
33,1.2316261573812077e+29,0.10537457466125487
34,3.3302551440358487e+22,0.10424208641052246
35,3.141047158715368e+22,0.10393619537353516
36,1.981109313855845e+30,0.13926410675048828
37,2.0531183533441167e+19,0.06360149383544922
38,4.1637527287183296e+36,0.1311800479888916
39,1.7583443893475537e+19,0.08154439926147461
40,2640090.9792674207,0.10160136222839357
41,51872544807933.99,0.11602067947387695
42,3.824976056152351e+34,0.12903356552124026
43,1.1621283680149608e+25,0.11359119415283205
44,1.3791816855318931e+17,0.06730532646179199
45,4631262798140792.0,0.07419347763061522
46,9.053812674074588e+27,0.1269063949584961
47,2.0338291323185453e+21,0.13196110725402832
48,1.3764492866502371e+17,0.07370376586914062
49,1.2187598751273364e+23,0.11759352684020995
50,4.376755062575944e+33,0.2072625160217285
51,4635677277097376.0,0.08378863334655763
52,1.8918249038036068e+33,0.11213088035583496
53,2654187622903532.5,0.044938325881958015
54,1.510466086437952e+31,0.1094529628753662
55,2377096.3397596558,0.044518709182739265
56,3.8735255646958806e+32,0.10620474815368652
57,2711655.5267080176,0.07084441184997559
58,35379851660804.41,0.04903554916381836
59,3.7617001103391227e+21,0.09448742866516112
60,4.391136858702249e+22,0.0915834903717041
61,3.59173119256485e+28,0.10262346267700197
62,1.0929347901139265e+24,0.12613177299499512
63,4.6399401070750555e+35,0.16840577125549314
64,1.879914060500366e+32,0.17689847946166992
65,1.262292327568348e+38,0.14499878883361814
66,2471904.8504750547,0.046404361724853516
67,3.4397413568049567e+37,0.14483642578125
68,3.297908414728497e+22,0.08361530303955078
69,3.880572757342801e+34,0.09483623504638672
70,3.76697312285009e+20,0.0929408073425293
71,1.2082757254677714e+23,0.08344268798828125
72,2482663.222194816,0.0580434799194336
73,1.909296895845706e+35,0.09441089630126953
74,0.0,0.0936591625213623
75,88855528299.16832,0.07777142524719237
76,1.3478894176648926e+17,0.0667581558227539
77,5.606658470595388e+34,0.14044713973999026
78,3.6956221874815815e+20,0.1313784122467041
79,2.1491778867666842e+21,0.0931086540222168
