uid,score,time
0,1.2032740586355687e+21,0.14028310775756836
1,8.057375836128443e+35,0.13580632209777832
2,1.6048627135173796e+26,0.11627006530761719
3,20771712.828204777,0.07652020454406738
4,5.030113596667413e+24,0.15392208099365234
5,2.5937588350493475e+26,0.13198137283325195
6,2.5751321352591345e+34,0.13661694526672363
7,5.590934336373641e+21,0.10325312614440918
8,1.3101153335576218e+30,0.13441848754882812
9,20792729.65641715,0.09950494766235352
10,0.0,0.1364426612854004
11,6.354761326212876e+35,0.1244971752166748
12,0.0,0.10055208206176758
13,1.1273138739914153e+23,0.16900324821472168
14,9.01914722694313e+20,0.1353158950805664
15,314555109415089.25,0.08948516845703125
16,1.5894902448882396e+35,0.1165764331817627
17,3.751707346703604e+25,0.13678216934204102
18,4.962960792458848e+30,0.13356876373291016
19,5.055867738301834e+21,0.15658116340637207
20,4.817929646818648e+21,0.11481666564941406
21,6.854928628524131e+28,0.14174294471740723
22,4.256408069390062e+23,0.11131644248962402
23,2.381459100792623e+28,0.1256709098815918
24,1.1628599408506834e+18,0.10740089416503906
25,20771712.828204777,0.0680246353149414
26,1.8996833665133483e+26,0.24172353744506836
27,1.4463692053045498e+19,0.19596576690673828
28,1.3367969509312545e+21,0.11994004249572754
29,5.045547165051818e+21,0.1357114315032959
30,8.835983392344096e+20,0.13501763343811035
31,4.256246675928345e+23,0.10747385025024414
32,1.3726570967413236e+30,0.09116935729980469
33,3.545856933890788e+29,0.1057121753692627
34,1.1034832944660023e+23,0.1005392074584961
35,9.956839616999791e+22,0.09427452087402344
36,5.326687595142256e+30,0.1073153018951416
37,1.7511043470786222e+20,0.07298755645751953
38,4.142854177906613e+36,0.11119890213012695
39,1.483952287168514e+20,0.09230446815490723
40,21882593.241442714,0.09512209892272949
41,419680321065839.06,0.1028757095336914
42,2.549438804075505e+34,0.10283207893371582
43,2.6868101151768995e+25,0.09639763832092285
44,1.1493174387913622e+18,0.07167625427246094
45,3.837134599831963e+16,0.07426118850708008
46,2.168659689268205e+28,0.0916903018951416
47,5.482357229059817e+21,0.09653019905090332
48,1.1688234188678205e+18,0.0733487606048584
49,4.3280078125550244e+23,0.09189152717590332
50,2.179988333278884e+34,0.13665461540222168
51,3.875520077530779e+16,0.08965492248535156
52,4.5648078803289713e+33,0.10726714134216309
53,2.3519702511583916e+16,0.05754709243774414
54,3.6941693432643227e+31,0.10809516906738281
55,20771712.828204777,0.05705618858337402
56,9.475968529482315e+32,0.10717964172363281
57,21917494.516618367,0.07890033721923828
58,316506142692337.56,0.05879688262939453
